"Due Date"	"Assignment"	"Last Page"	"Pages"	"% Complete"	"Scheduling Notes"
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/README.md","Study Group Orientation")	""	""	""	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter1/README.md","Chapter 1: Installing Red Hat Enterprise Linux")	"27"	"27"	"  5.00"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter2/README.md","Chapter 2: Using Essential Tools")	"51"	"24"	"  9.44"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter3/README.md","Chapter 3: Essential File Management Tools")	"79"	"28"	" 14.63"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter4/README.md","Chapter 4: Working with Text Files")	"97"	"18"	" 17.96"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter5/README.md","Chapter 5: Connecting to Red Hat Enterprise Linux")	"119"	"22"	" 22.04"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter6/README.md","Chapter 6: User and Group Management")	"141"	"22"	" 26.11"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter7/README.md","Chapter 7: Permissions Management")	"165"	"24"	" 30.56"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter8/README.md","Chapter 8: Configuring Networking")	"195"	"30"	" 36.11"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter9/README.md","Chapter 9: Managing Software")	"231"	"36"	" 42.78"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter10/README.md","Chapter 10: Managing Processes")	"251"	"20"	" 46.48"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter11/README.md","Chapter 11: Working with Systemd")	"269"	"18"	" 49.81"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter12/README.md","Chapter 12: Scheduling Tasks")	"283"	"14"	" 52.41"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter13/README.md","Chapter 13: Configuring Logging")	"307"	"24"	" 56.85"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter14/README.md","Chapter 14: Managing Storage")	"337"	"30"	" 62.41"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter15/README.md","Chapter 15: Managing Advanced Storage")	"365"	"28"	" 67.59"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter16/README.md","Chapter 16: Basic Kernel Management")	"383"	"18"	" 70.93"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter17/README.md","Chapter 17: Managing and Understanding the Boot Procedure")	"399"	"16"	" 73.89"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter18/README.md","Chapter 18: Essential Troubleshooting Skills")	"421"	"22"	" 77.96"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter19/README.md","Chapter 19: An Introduction to Bash Shell Scripting")	"441"	"20"	" 81.67"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter20/README.md","Chapter 20: Configuring SSH")	"455"	"14"	" 84.26"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter21/README.md","Chapter 21: Managing Apache HTTP Services")	"469"	"14"	" 86.85"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter22/README.md","Chapter 22: Managing SELinux")	"495"	"26"	" 91.67"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter23/README.md","Chapter 23: Configuring a Firewall")	"509"	"14"	" 94.26"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter24/README.md","Chapter 24: Accessing Network Storage")	"525"	"16"	" 97.22"	""
""	=hyperlink("https://github.com/dmbrownlee/demo/rhcsa/coursefiles/chapter25/README.md","Chapter 25: Configuring Time Services")	"540"	"15"	"100.00"	""
